Plaza ID,Date,Hour,Direction,# Vehicles - E-ZPass,# Vehicles - VToll
5,2017-04-23,14,I,758,79
5,2017-04-23,14,O,572,59
5,2017-04-23,15,I,729,92
5,2017-04-23,15,O,536,68
5,2017-04-23,16,I,710,103
5,2017-04-23,16,O,608,75
5,2017-04-23,17,I,683,74
5,2017-04-23,17,O,480,66
5,2017-04-23,18,I,535,51
5,2017-04-23,18,O,364,54
5,2017-04-23,19,I,451,51
5,2017-04-23,19,O,358,55
5,2017-04-23,20,I,387,38
5,2017-04-23,20,O,232,36
5,2017-04-23,21,I,268,26
5,2017-04-23,21,O,157,29
5,2017-04-23,22,I,199,30
5,2017-04-23,22,O,108,20
5,2017-04-23,23,I,140,13
5,2017-04-23,23,O,93,17
5,2017-04-22,0,I,178,11
5,2017-04-22,0,O,72,16
5,2017-04-22,1,I,109,14
5,2017-04-22,1,O,45,7
5,2017-04-22,2,I,51,6
5,2017-04-22,2,O,31,4
5,2017-04-22,3,I,30,8
5,2017-04-22,3,O,24,6
5,2017-04-22,4,I,37,6
5,2017-04-22,4,O,29,5
5,2017-04-22,5,I,77,9
5,2017-04-22,5,O,150,10
5,2017-04-22,6,I,150,18
5,2017-04-22,6,O,280,17
5,2017-04-22,7,I,205,26
5,2017-04-22,7,O,348,33
5,2017-04-22,8,I,291,42
5,2017-04-22,8,O,496,40
5,2017-04-22,9,I,320,40
5,2017-04-22,9,O,520,35
5,2017-04-22,10,I,361,49
5,2017-04-22,10,O,573,43
5,2017-04-22,11,I,477,43
5,2017-04-22,11,O,537,52
5,2017-04-22,12,I,464,46
5,2017-04-22,12,O,541,44
5,2017-04-22,13,I,539,58
5,2017-04-22,13,O,516,54
5,2017-04-22,14,I,551,54
5,2017-04-22,14,O,463,57
5,2017-04-22,15,I,588,47
5,2017-04-22,15,O,484,78
5,2017-04-22,16,I,590,65
5,2017-04-22,16,O,461,58
5,2017-04-22,17,I,561,68
5,2017-04-22,17,O,449,46
5,2017-04-22,18,I,567,67
5,2017-04-22,18,O,371,60
5,2017-04-22,19,I,439,46
5,2017-04-22,19,O,310,48
5,2017-04-22,20,I,349,53
5,2017-04-22,20,O,251,33
5,2017-04-22,21,I,300,29
5,2017-04-22,21,O,219,35
5,2017-04-22,22,I,258,20
5,2017-04-22,22,O,177,28
5,2017-04-22,23,I,230,34
5,2017-04-22,23,O,170,26
5,2017-04-21,0,I,0,0
5,2017-04-21,0,O,0,0
5,2017-04-21,1,I,0,0
5,2017-04-21,1,O,3,0
5,2017-04-21,2,I,0,0
5,2017-04-21,2,O,6,1
5,2017-04-21,3,I,8,6
5,2017-04-21,3,O,24,5
5,2017-04-21,4,I,16,2
5,2017-04-21,4,O,48,1
5,2017-04-21,5,I,110,7
5,2017-04-21,5,O,341,19
5,2017-04-21,6,I,327,36
5,2017-04-21,6,O,919,48
5,2017-04-21,7,I,387,37
5,2017-04-21,7,O,1359,53
5,2017-04-21,8,I,372,48
5,2017-04-21,8,O,937,52
5,2017-04-21,9,I,382,38
5,2017-04-21,9,O,636,46
5,2017-04-21,10,I,336,31
5,2017-04-21,10,O,573,38
5,2017-04-21,11,I,343,32
5,2017-04-21,11,O,479,45
5,2017-04-21,12,I,447,49
5,2017-04-21,12,O,537,46
5,2017-04-21,13,I,480,56
5,2017-04-21,13,O,524,37
5,2017-04-21,14,I,729,55
5,2017-04-21,14,O,524,51
5,2017-04-21,15,I,1012,50
5,2017-04-21,15,O,575,83
5,2017-04-21,16,I,1015,83
5,2017-04-21,16,O,589,56
5,2017-04-21,17,I,958,76
5,2017-04-21,17,O,557,63
5,2017-04-21,18,I,824,66
5,2017-04-21,18,O,432,57
5,2017-04-21,19,I,608,45
5,2017-04-21,19,O,346,39
5,2017-04-21,20,I,449,36
5,2017-04-21,20,O,238,29
5,2017-04-21,21,I,358,30
5,2017-04-21,21,O,188,33
5,2017-04-21,22,I,257,39
5,2017-04-21,22,O,151,15
5,2017-04-21,23,I,213,23
5,2017-04-21,23,O,101,27
5,2017-04-20,0,I,0,0
5,2017-04-20,0,O,0,0
5,2017-04-20,1,I,0,0
5,2017-04-20,1,O,0,0
5,2017-04-20,2,I,0,0
5,2017-04-20,2,O,0,0
5,2017-04-20,3,I,0,0
5,2017-04-20,3,O,0,0
5,2017-04-20,4,I,0,0
5,2017-04-20,4,O,0,0
